Stadtteil,Codes,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt bis 2.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 2.000 bis 4.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 4.000 bis 5.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 5.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Median Bruttoarbeitsentgelte  2010,Stadtteilnummer,Anteil Wahlberechtigte ohne Sperrvermerk,Anteil Wähler,Anteil darunter Wähler mit Wahlschein,Anteil ungültige Stimmen,Anteil CDU,Anteil SPD,Anteil GRÜNE,Anteil DIE LINKE,Anteil AfD,Anteil FDP,Anteil PIRATEN,Anteil NPD,Anteil FREIE WÄHLER,Anteil Die PARTEI,Anteil BüSo,Anteil MLPD,Anteil BGE,Anteil DKP,Anteil DM,Anteil ÖDP,Anteil Tierschutzpartei,Anteil V-Partei³
Altstadt,1,253,424,151,237,3270,1,73.2,74.8,34.4,0.4,26.3,17.6,14.6,13.0,8.3,15.2,0.5,0.4,0.4,1.9,0.0,0.0,0.3,0.0,0.2,0.3,0.8,0.2
Innenstadt,2,522,692,190,382,2932,2,71.6,67.6,40.0,0.8,26.0,15.3,15.0,13.7,7.8,16.9,0.7,0.3,0.2,2.0,0.0,0.1,0.1,0.0,0.4,0.2,0.7,0.4
Bahnhofsviertel,3,,,,,,10,73.0,74.1,34.6,1.2,21.4,15.6,18.4,16.5,7.1,16.8,0.4,0.1,0.2,1.9,0.0,0.1,0.2,0.0,0.1,0.3,0.6,0.2
Westend-Süd,4,448,1250,729,2813,5247,4,62.8,84.8,42.0,0.4,31.6,11.9,13.6,6.7,6.2,27.9,0.1,0.0,0.1,0.6,0.0,0.0,0.2,0.0,0.1,0.2,0.4,0.2
Westend-Nord,5,375,759,365,950,4236,5,69.3,78.6,37.3,0.6,28.7,15.9,16.2,9.4,5.2,22.2,0.4,0.1,0.1,0.7,0.0,0.0,0.1,0.1,0.2,0.1,0.4,0.2
Nordend-West,6,1068,3082,1395,3272,4172,6,67.3,85.0,37.0,0.5,25.3,15.6,20.1,12.8,5.1,17.7,0.5,0.1,0.2,1.2,0.0,0.0,0.3,0.1,0.1,0.2,0.6,0.2
Nordend-Ost,7,1154,3247,1380,2662,3891,7,70.2,82.8,34.4,0.6,20.7,17.6,23.6,16.6,4.5,13.1,0.4,0.0,0.2,1.6,0.0,0.1,0.3,0.0,0.0,0.2,0.7,0.2
Ostend,8,1438,3299,1173,1951,3464,8,72.1,77.9,34.2,0.8,23.7,19.4,18.7,14.2,6.3,13.6,0.5,0.1,0.3,1.5,0.0,0.1,0.3,0.1,0.2,0.2,0.8,0.2
Bornheim,9,1369,3689,1179,1652,3341,9,74.5,78.1,31.2,0.9,22.2,21.4,18.3,16.1,6.8,10.9,0.4,0.1,0.4,1.5,0.0,0.1,0.4,0.1,0.1,0.2,1.0,0.2
Gutleutviertel,10,594,897,279,610,3190,10,73.0,74.1,34.6,1.2,21.4,15.6,18.4,16.5,7.1,16.8,0.4,0.1,0.2,1.9,0.0,0.1,0.2,0.0,0.1,0.3,0.6,0.2
Gallus,11,2202,3149,672,768,2620,11,75.3,68.9,34.5,1.0,24.4,18.1,13.4,12.7,9.5,17.3,0.5,0.2,0.4,1.5,0.0,0.3,0.3,0.0,0.3,0.2,0.8,0.2
Bockenheim,12,1361,3444,1321,2503,3720,12,72.3,77.2,32.5,0.8,22.5,19.0,19.1,14.1,6.0,15.1,0.5,0.1,0.4,1.5,0.0,0.1,0.3,0.1,0.1,0.3,0.7,0.2
Sachsenhausen-Nord,13,1302,3223,1313,3197,3996,13,68.8,81.2,36.8,0.6,27.1,15.9,18.6,10.3,5.8,19.2,0.4,0.1,0.3,1.1,0.0,0.0,0.3,0.0,0.1,0.2,0.4,0.2
Sachsenhausen-Süd,14,1024,2567,1027,2316,3896,14,68.2,78.8,38.4,0.7,30.2,17.4,13.6,9.1,7.6,18.9,0.3,0.1,0.3,0.8,0.0,0.1,0.2,0.0,0.1,0.2,0.9,0.2
Oberrad,16,752,1542,392,534,2983,16,78.5,71.6,28.3,1.4,27.4,22.5,11.5,11.2,10.5,12.2,0.6,0.2,0.3,1.2,0.0,0.2,0.3,0.0,0.2,0.2,1.2,0.2
Niederrad,17,1313,3098,768,1105,3083,17,76.4,70.8,31.8,1.4,26.1,22.4,11.9,10.9,10.3,13.6,0.6,0.2,0.5,1.6,0.0,0.1,0.1,0.1,0.2,0.2,0.9,0.2
Schwanheim,18,1065,2310,621,730,3079,18,82.1,69.6,24.3,1.9,30.6,23.2,9.5,8.7,12.4,11.1,0.4,0.3,0.7,0.9,0.0,0.0,0.2,0.1,0.2,0.1,1.2,0.2
Griesheim,19,1819,2626,440,452,2466,19,85.1,61.3,22.6,1.7,25.3,25.6,9.6,11.3,12.2,9.6,0.6,0.7,0.9,1.4,0.0,0.3,0.3,0.0,0.3,0.1,1.5,0.1
Rödelheim,20,957,2001,568,884,3162,20,78.8,73.2,27.8,1.1,23.6,21.2,13.9,16.2,9.1,10.7,0.7,0.2,0.5,1.7,0.0,0.1,0.3,0.1,0.3,0.2,1.0,0.3
Hausen,21,374,629,179,283,3099,21,78.3,79.4,35.6,1.6,27.5,23.0,13.4,12.6,7.7,12.6,0.2,0.1,0.5,1.1,0.0,0.0,0.4,0.0,0.1,0.1,0.6,0.1
Praunheim,22,846,1708,438,618,3019,22,79.6,73.1,26.6,1.2,24.5,24.3,12.8,12.6,11.1,10.5,0.4,0.3,0.5,1.0,0.0,0.0,0.2,0.0,0.2,0.2,1.3,0.2
Heddernheim,24,990,1954,509,708,3032,24,80.4,72.3,25.6,1.0,24.7,24.7,13.3,13.0,10.1,9.8,0.6,0.3,0.7,1.0,0.0,0.1,0.3,0.0,0.1,0.1,1.1,0.1
Niederursel,25,767,1521,367,513,2995,25,81.7,69.6,24.9,1.5,26.2,24.2,12.6,10.8,10.9,11.2,0.5,0.4,0.4,0.9,0.0,0.0,0.2,0.0,0.1,0.2,1.1,0.2
Ginnheim,26,849,1729,534,672,3139,26,79.2,72.4,27.6,1.2,23.9,22.6,14.0,14.1,8.4,12.3,0.4,0.2,0.6,1.4,0.0,0.1,0.2,0.0,0.3,0.4,1.0,0.2
Dornbusch,27,788,1808,663,1165,3582,27,73.9,80.1,31.0,0.8,27.3,19.2,15.2,11.8,7.5,15.6,0.4,0.1,0.4,0.8,0.0,0.1,0.2,0.0,0.2,0.2,0.8,0.2
Eschersheim,28,686,1658,526,919,3426,28,74.2,78.2,31.7,0.7,27.6,19.4,15.7,11.5,7.5,14.3,0.4,0.1,0.5,1.0,0.1,0.0,0.3,0.1,0.1,0.2,1.0,0.2
Eckenheim,29,877,1700,374,500,2868,29,80.9,70.2,25.9,1.4,24.4,24.1,12.3,14.3,9.2,10.1,0.5,0.2,0.5,1.4,0.0,0.1,0.3,0.1,0.3,0.2,1.6,0.4
Preungesheim,30,702,1433,401,697,3208,30,80.6,75.1,24.5,1.0,26.1,21.8,14.2,11.9,8.7,12.7,0.5,0.2,0.4,1.2,0.0,0.1,0.4,0.1,0.1,0.2,1.1,0.3
Bonames,31,367,710,157,191,2849,31,82.5,67.0,25.0,1.4,25.7,23.2,12.2,11.7,12.8,9.4,0.6,0.2,0.6,0.9,0.0,0.2,0.1,0.1,0.2,0.2,1.3,0.5
Berkersheim,32,,,,,,32,76.3,77.8,29.8,0.9,29.8,20.5,12.5,11.0,8.5,13.9,0.6,0.3,0.4,1.1,0.0,0.1,0.2,0.0,0.1,0.2,0.6,0.2
Riederwald,33,356,593,113,67,2546,33,85.0,67.8,20.7,1.8,17.5,29.6,9.7,18.8,13.1,5.5,0.7,0.3,0.5,1.4,0.0,0.1,0.2,0.2,0.1,0.3,2.0,0.1
Seckbach,34,526,1041,253,401,2984,34,77.8,75.3,27.9,1.5,28.3,21.6,14.5,11.1,8.7,11.7,0.4,0.2,0.4,1.2,0.0,0.0,0.2,0.1,0.2,0.1,1.1,0.1
Fechenheim,35,1140,1575,264,270,2453,35,83.3,61.2,25.5,1.6,24.8,25.6,10.5,12.6,11.6,9.0,0.8,0.3,0.7,1.4,0.0,0.0,0.4,0.1,0.2,0.1,1.5,0.2
Höchst,36,985,1694,365,465,2736,36,82.3,66.5,24.1,1.4,21.7,23.7,13.7,14.6,11.1,9.1,0.8,0.2,0.5,2.1,0.0,0.2,0.3,0.1,0.3,0.3,1.1,0.1
Nied,37,1128,2099,502,558,2920,37,83.2,68.7,22.9,1.9,26.7,24.5,8.8,10.5,14.2,10.2,0.6,0.3,0.8,0.8,0.0,0.1,0.1,0.0,0.5,0.2,1.5,0.2
Sindlingen,38,601,1058,271,193,2806,38,85.6,66.6,20.2,2.0,29.3,25.9,8.1,9.0,13.6,8.2,0.7,0.6,0.8,1.0,0.0,0.2,0.2,0.1,0.4,0.1,1.6,0.2
Zeilsheim,39,662,1297,423,393,3073,39,84.7,67.2,21.4,1.8,31.1,24.3,7.8,8.2,14.5,8.9,0.5,0.3,0.6,1.0,0.0,0.0,0.2,0.0,0.6,0.0,1.6,0.1
Unterliederbach,40,860,1749,470,546,2951,40,84.9,69.3,20.6,1.4,28.6,24.1,10.1,10.2,11.6,10.4,0.4,0.3,0.8,1.4,0.0,0.1,0.3,0.1,0.2,0.1,1.2,0.1
Sossenheim,41,1034,1805,381,397,2732,41,84.4,63.3,22.6,1.5,30.2,22.7,8.1,9.7,13.6,10.1,0.6,0.3,0.9,1.2,0.0,0.1,0.2,0.0,0.4,0.2,1.6,0.2
Nieder-Erlenbach,42,191,424,149,350,3758,42,75.0,84.7,28.6,0.9,36.1,17.0,12.9,7.5,9.0,14.3,0.3,0.1,0.4,0.6,0.0,0.1,0.0,0.0,0.1,0.3,1.2,0.1
Kalbach-Riedberg,43,377,905,410,900,4027,43,78.3,82.4,25.2,0.6,33.6,16.9,12.8,7.2,7.4,18.3,0.4,0.1,0.4,0.9,0.0,0.0,0.2,0.0,0.1,0.2,1.0,0.3
Harheim,44,196,535,167,284,3355,44,76.5,84.1,26.9,1.0,33.9,19.0,11.8,7.4,10.2,13.1,0.1,0.2,0.8,1.2,0.0,0.0,0.1,0.1,0.2,0.1,1.4,0.4
Nieder-Eschbach,45,670,1229,321,529,3037,45,81.7,71.4,24.0,1.4,30.2,21.1,11.1,9.4,12.8,10.5,0.5,0.3,0.9,1.2,0.0,0.1,0.3,0.0,0.1,0.2,1.0,0.2
Bergen-Enkheim,46,845,1930,611,1077,3347,46,75.9,78.9,29.0,0.7,30.4,20.0,11.7,8.5,10.0,15.1,0.3,0.2,0.8,1.0,0.0,0.1,0.2,0.0,0.2,0.1,1.1,0.2
Frankfurter Berg,47,513,1128,337,460,3106,47,81.0,73.1,25.0,1.3,28.8,22.0,11.9,10.8,11.2,10.7,0.6,0.3,0.8,1.2,0.0,0.1,0.2,0.0,0.2,0.1,0.8,0.3
